acousticness,liveness,speechiness,tempo,key,valence,loudness,instrumentalness,duration_ms,time_signature,danceability,energy,title,popularity
0.726,0.0934,0.0315,138.093,1,0.146,-13.947,0.44,287357,4,0.476,0.397,Melody Day - Four Tet Remix,0
3.89e-05,0.321,0.0396,111.005,0,0.0621,-11.999,0.938,321253,4,0.597,0.48,Heaven Tar,4
0.767,0.0722,0.0405,145.432,2,0.0629,-11.19,0.812,179640,4,0.478,0.441,"Together (strange loneliness, change into melodic far eastern scene)",2
0.614,0.288,0.0726,163.789,6,0.767,-11.906,9.49e-06,470520,4,0.478,0.747,Malika,3
0.198,0.0768,0.0431,109.098,11,0.891,-6.79,0.685,251190,4,0.663,0.866,Fancy Good,6
0.0081,0.133,0.174,112.036,1,0.814,-5.137,0,302373,4,0.805,0.873,Bowungakanani?,26
0.911,0.215,0.0365,80.849,7,0.431,-20.734,0.00854,135140,4,0.209,0.216,Two Friends,0
0.794,0.168,0.0319,104.741,10,0.0667,-7.262,0.822,274227,4,0.442,0.607,"Cherrybomb, Pt. 2",0
0.649,0.125,0.0595,140.037,7,0.838,-12.486,0.916,231893,4,0.66,0.606,Life’s What You Make It,34
0.864,0.156,0.0387,124.795,2,0.637,-11.839,0.0494,265373,4,0.789,0.318,Wild Dream,13
0.024,0.113,0.078,119.883,1,0.197,-11.776,0.864,1747244,4,0.805,0.619,Asiko (In a Silent Mix) - Ricardo Villalobos Remix,5
0.909,0.0977,0.0482,161.82,8,0.147,-13.955,0,160194,4,0.399,0.182,Plain & Sane & Simple Melody,40
0.265,0.31,0.0324,111.496,7,0.772,-12.422,0.707,167867,4,0.626,0.495,Toda Essa Água,22
0.867,0.126,0.0777,173.989,6,0.824,-20.514,0.959,129944,4,0.63,0.194,Wallpaper,0
0.65,0.136,0.0314,145.021,8,0.78,-8.198,0.0042,240039,4,0.609,0.647,Second Chance,0
0.515,0.0803,0.0361,125.415,10,0.119,-11.187,0.775,545372,4,0.388,0.291,Gestos De Equilíbrio,0
